# PTHR45658_subfamilies_identifiersmulti.txt
# PANTHERDB GATA TRANSCRIPTION FACTOR (PTHR45658) SUBFAMILIES
# Fungal and amoeba GATA zinc finger homologs
# Subfamilies PTHR45658:SF159, SF160, SF86, SF75, SF151, SF170, SF169
# Sequence identifiers only
# Downloaded from PANTHER 18.0 on 2023-10-05 by Edward Wallace
#
GeneID	GeneName	Organism	Definition	SubfamilyName	PTHRAnID	PTHRPersistentID
dictyBase:DDB_G0281829	gtaJ	Dictyostelium discoideum	GATA zinc finger domain-containing protein 10	PROTEIN GAT2-RELATED	PTHR45658:AN45	PTN001288672
dictyBase:DDB_G0270756	gtaG	Dictyostelium discoideum	GATA zinc finger domain-containing protein 7	PROTEIN GAT2-RELATED	PTHR45658:AN46	PTN001332608
dictyBase:DDB_G0277589	gtaC	Dictyostelium discoideum	GATA zinc finger domain-containing protein 3	PROTEIN GAT2-RELATED	PTHR45658:AN47	PTN002225702
EnsemblGenome:DICPUDRAFT_99939	DICPUDRAFT_99939	Dictyostelium purpureum	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN49	PTN001650321
EnsemblGenome:DICPUDRAFT_155826	DICPUDRAFT_155826	Dictyostelium purpureum	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN50	PTN000800989
EnsemblGenome:DICPUDRAFT_77444	DICPUDRAFT_77444	Dictyostelium purpureum	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN51	PTN008694257
EnsemblGenome:DICPUDRAFT_159043	DICPUDRAFT_159043	Dictyostelium purpureum	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN52	PTN002225852
EnsemblGenome:DICPUDRAFT_51958	gtaC	Dictyostelium purpureum	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN53	PTN002225703
dictyBase:DDB_G0277147	stkA	Dictyostelium discoideum	Transcription factor stalky	TRANSCRIPTION FACTOR STALKY	PTHR45658:AN33	PTN008149445
EnsemblGenome:DICPUDRAFT_159109	DICPUDRAFT_159109	Dictyostelium purpureum	GATA-type domain-containing protein	TRANSCRIPTION FACTOR STALKY	PTHR45658:AN34	PTN002225709
dictyBase:DDB_G0281661	gtaI	Dictyostelium discoideum	GATA zinc finger domain-containing protein 9	GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 9	PTHR45658:AN36	PTN000007923
EnsemblGenome:DICPUDRAFT_55210	DICPUDRAFT_55210	Dictyostelium purpureum	GATA-type domain-containing protein	GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 9	PTHR45658:AN37	PTN000801110
dictyBase:DDB_G0268792	gtaF	Dictyostelium discoideum	GATA zinc finger domain-containing protein 6	GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 6	PTHR45658:AN39	PTN001332034
EnsemblGenome:DICPUDRAFT_90623	DICPUDRAFT_90623	Dictyostelium purpureum	GATA-type domain-containing protein	GATA ZINC FINGER DOMAIN-CONTAINING PROTEIN 6	PTHR45658:AN40	PTN002225705
EnsemblGenome:ANIA_03607	lreB	Emericella nidulans	Uncharacterized protein	GATA TRANSCRIPTION FACTOR LREB	PTHR45658:AN68	PTN005226547
EnsemblGenome:AFUA_4G12690	AFUA_4G12690	Neosartorya fumigata	GATA transcription factor LreB	GATA TRANSCRIPTION FACTOR LREB	PTHR45658:AN69	PTN005226548
EnsemblGenome:ANIA_03152	nsdD	Emericella nidulans	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN71	PTN008694254
EnsemblGenome:AFUA_3G13870	AFUA_3G13870	Neosartorya fumigata	GATA-type sexual development transcription factor NsdD	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN72	PTN008694255
EnsemblGenome:NCU01154	sub-1	Neurospora crassa	Submerged protoperithecia-1	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN73	PTN005226544
EnsemblGenome:AGOS_ADR249W	AGOS_ADR249W	Ashbya gossypii	ADR249Wp	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN61	PTN000007839
EnsemblGenome:AGOS_AAR174W	AGOS_AAR174W	Ashbya gossypii	AAR174Wp	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN62	PTN001296453
CGD:CAL0000196982	BRG1	Candida albicans	Biofilm regulator 1	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN63	PTN008694250
EnsemblGenome:YALI0_F05346g	YALI0_F05346g	Yarrowia lipolytica	YALI0F05346p	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN64	PTN008149440
EnsemblGenome:CNB00390	CNB00390	Cryptococcus neoformans	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN75	PTN008149441
EnsemblGenome:UMAG_00895	UMAG_00895	Ustilago maydis	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN76	PTN005226552
EnsemblGenome:PGTG_04061	PGTG_04061	Puccinia graminis	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN77	PTN008694235
EnsemblGenome:BATDEDRAFT_37200	BATDEDRAFT_37200	Batrachochytrium dendrobatidis	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN79	PTN005226554
EnsemblGenome:BATDEDRAFT_85119	BATDEDRAFT_85119	Batrachochytrium dendrobatidis	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN80	PTN008149434
dictyBase:DDB_G0292990	DDB0219810	Dictyostelium discoideum	Uncharacterized protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN83	PTN004473900
EnsemblGenome:DICPUDRAFT_96381	gtaE	Dictyostelium purpureum	GATA-type domain-containing protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN84	PTN002225843
EnsemblGenome:DICPUDRAFT_99676	DICPUDRAFT_99676	Dictyostelium purpureum	Uncharacterized protein	GATA TRANSCRIPTION FACTOR 9	PTHR45658:AN85	PTN001005958
